pdbId	chainIds1	chainIds2	scopes1	scopes2
1A2K	A	AB	c.37.1.8	d.17.4.2;d.17.4.2
1ACB	+	B	d.40.1.1	b.47.1.2
1AHW	A	LH	b.1.2.1:b.1.2.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1AK4	A	+	a.73.1.1	b.62.1.1
1AKJ	AB	DE	b.1.1.1;b.1.1.1	b.1.1.2:d.19.1.1;b.1.1.2
1ATN	+	B	d.151.1.1	c.55.1.1:c.55.1.1
1AVX	B	A	b.42.4.1	b.47.1.2
1AY7	B	B	c.9.1.1	d.1.1.2
1AZS	A	AB	a.66.1.1:c.37.1.8	d.58.29.1;d.58.29.1
1B6C	A	A	d.144.1.7	d.26.1.1
1BGX	A	HL	a.60.7.1:c.55.3.5:c.120.1.2:e.8.1.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1BJ1	GH	HL	g.17.1.1;g.17.1.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1BKD	A	A	c.37.1.8	a.117.1.1
1BUH	A	+	d.97.1.1	d.144.1.7
1BVK	+	BA	d.2.1.2	b.1.1.1;b.1.1.1:l.1.1.1
1BVN	+	+	b.5.1.1	b.71.1.1:c.1.8.1
1CGI	+	B	g.68.1.1	b.47.1.2
1CLV	A	A	g.3.2.1	b.71.1.1:c.1.8.1
1D6R	A	+	g.3.13.1	b.47.1.2
1DE4	AB	AB	a.48.2.1:c.8.4.1:c.56.5.5;a.48.2.1:c.8.4.1:c.56.5.5	b.1.1.2:d.19.1.1;b.1.1.2
1DFJ	+	B	c.10.1.1	d.5.1.1
1DQJ	+	CD	d.2.1.2	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1E4K	A	AB	b.1.1.4:b.1.1.4	b.1.1.2:b.1.1.2;b.1.1.2:b.1.1.2
1E6E	D	A	d.15.4.1	c.3.1.1:c.4.1.1
1E6J	+	HL	a.28.3.1:a.73.1.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2
1E96	A	+	a.118.8.1	c.37.1.8:l.1.1.1
1EAW	+	A	g.8.1.1	b.47.1.2
1EER	AB	A	b.1.2.1:b.1.2.1;b.1.2.1:b.1.2.1	a.26.1.2
1EFN	A	A	b.34.2.1	d.102.1.1
1EWY	A	A	d.15.4.1	b.43.4.2:c.25.1.1
1EXB	ABCD	ABCD	d.42.1.2;0.0.0.0;0.0.0.0;0.0.0.0;0.0.0.0	c.1.7.1;0.0.0.0;0.0.0.0;0.0.0.0
1EZU	AB	A	b.16.1.1;b.16.1.1	b.47.1.2
1F34	A	+	d.62.1.1	b.50.1.2
1F51	C	AB	c.23.1.1	d.123.1.1;d.123.1.1
1F6M	A	A	c.47.1.1	c.3.1.5:c.3.1.5
1FAK	B	H	b.1.2.1:b.1.2.1	b.47.1.2;g.3.11.1:g.3.11.1:g.32.1.1
1FC2	A	+	b.1.1.2:b.1.1.2	a.8.1.1
1FCC	A	AB	d.15.7.1	b.1.1.2:b.1.1.2;b.1.1.2:b.1.1.2
1FFW	A	A	d.58.24.1	c.23.1.1
1FLE	A	A	g.3.14.1	b.47.1.2
1FQ1	A	F	d.144.1.7	c.45.1.1
1FQJ	A	C	a.91.1.1	a.66.1.1:c.37.1.8
1FSK	+	BC	d.129.3.1	b.1.1.1:b.1.1.2;b.1.1.1:b.1.1.2:l.1.1.1
1GCQ	B	B	b.34.2.1:l.1.1.1	b.34.2.1
1GHQ	A	+	g.18.1.1:g.18.1.1:l.1.1.1	a.102.4.4:l.1.1.1
1GL1	A	1	g.4.1.1	b.47.1.2
1GLA	A	O	b.84.3.1	c.55.1.4:c.55.1.4
